"","Title","Authors","Source Title","Publication Year","Total Citations"
"1","Thermal desorption comprehensive two-dimensional gas chromatography for in-situ measurements of organic aerosols","Goldstein;Williams;Williams","JOURNAL OF CHROMATOGRAPHY A",2008,NA
"2","Total observed organic carbon (TOOC) in the atmosphere: a synthesis of North American observations","Goldstein;de Gouw;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2008,7
"3","New constraints on terrestrial and oceanic sources of atmospheric methanol","Goldstein;Williams;Williams;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2008,23
"4","In-situ ambient quantification of monoterpenes, sesquiterpenes, and related oxygenated compounds during BEARPEX 2007: implications for gas- and particle-phase chemistry","Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2009,15
"5","Methyl chavicol: characterization of its biogenic emission rate, abundance, and oxidation products in the atmosphere","Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2009,6
"6","Observations of NOx, $Aigma$PNs, $Aigma$ANs, and HNO3 at a Rural Site in the California Sierra Nevada Mountains: summertime diurnal cycles","Goldstein;Farmer","ATMOSPHERIC CHEMISTRY AND PHYSICS",2009,14
"7","Quantification of Hourly Speciated Organic Compounds in Atmospheric Aerosols, Measured by an In-Situ Thermal Desorption Aerosol Gas Chromatograph (TAG)","Goldstein;Williams;Williams","AEROSOL SCIENCE AND TECHNOLOGY",2009,1
"8","Closing the peroxy acetyl nitrate budget: observations of acyl peroxy nitrates (PAN, PPN, and MPAN) during BEARPEX 2007","Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2009,19
"9","A PRELIMINARY SYNTHESIS OF MODELED CLIMATE CHANGE IMPACTS ON US REGIONAL OZONE CONCENTRATIONS","Goldstein;Williams;Williams;Adams","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY",2009,12
"10","SOURCES AND PROPERTIES OF AMAZONIAN AEROSOL PARTICLES","Goldstein;Prather","REVIEWS OF GEOPHYSICS",2010,NA
